"news_influencer_id","news_id","influencer_name"
"522","306","sri+mulyani+indrawati"
"523","306","komaidi+notonegoro"
"524","306","bhima+yudhistira"
"525","306","eric+sugandi"
"526","306","yose+rizal+damuri"
"527","307","chairul+latanro"
"528","308","adi+deriyan+jayamarta"
"529","309","soekarwo"
"530","309","amran+sulaiman"
"531","310","roby+hervindo"
"532","311","syamsul+huda"
"533","312","arif+prabowo"
"534","313","emrus+sihombing"
"535","313","darmin+nasution"
"536","313","eko+listianto"
"537","315","tri+suwandono"
"538","316","achmad+djamaluddin"
"539","317","umar+hadi"
"540","318","sirajuddin+ramly"
"541","318","mas'ud"
"542","319","roby+hervindo"
"543","321","dedi+mulyadi"
"544","322","romahurmuziy"
"545","323","amran+sulaimanamran"
"546","324","roby+hervindo"
"547","326","mark+howden"
"548","326","will+steffen"
"549","326","peter+newman"
"550","326","bronwyn+hayward"
"551","326","melissa+price"
"552","327","m+aziz+kurniawan"
"553","328","febri+diansyah"
"554","329","parningotan+sitorus"
"555","329","erlinawita+rambe"
"556","330","fabianus+alisiono"
"557","330","netty+sadukh"
"558","331","pujo+catur+susanto"
"559","331","roni+setiawan"
"560","332","roby+hervindo"
"561","333","roby+hervindo"
"562","335","andi+amran+sulaiman"
"563","336","andi+amran+sulaiman"
"564","336","soekarwo"
"565","336","hortikultura+suwandi"
"566","336","berry+gaswara"
"567","337","roby+hervindo"
"568","338","syamsul+huda"
"569","339","chairani+rachmatullah"
"570","340","arif+budimanta"
"571","341","achmad+yurianto"
"572","342","muhammad+hasyim"
"573","343","neti+sadukh"
"574","344","hambra+samal"
"575","345","roby+hervindo"
"576","346","febri+diansyah"
"577","347","irwan+satya+putra+pababari"
"578","348","h+zulkarnaen"
"579","350","roby+hervindo"
"580","352","abraham+lebron"
"581","352","william+c+dudley"
"582","352","federica+ranghieri"
"583","352","sveriges+riskbank"
"584","352","kenneth+s+rogoff"
"585","352","guillaume+lepecq"
"586","352","ewald+nowotny"
"587","352","al+kelly"
"588","352","kevin+curran"
"589","352","cash+is+resilient"
"590","352","tom+pierce"
"591","353","roby+hervindo"
"592","354","abdul+gani+kasuba"
"593","355","ibrahim"
"594","356","rifky+rakhman+yusuf"
"595","357","sandiaga+uno"
"596","357","dewi+kundalini+saraswati"
"597","357","thoman+pardosi"
"598","358","saptari+hoedaja"
"599","359","andi+amran+sulaiman"
"600","359","soekarwo"
"601","359","suwandi"
"602","359","berry+gaswara"
"603","359","yulius+dwi+putra"
"604","359","herry+phio"
"605","360","soekarwo"
"606","360","pakdhe+karwo"
"607","361","andi+amran+sulaiman"
"608","362","alicia+irzanova"
"609","362","mas'ud+khamid"
"610","362","roby+hervindo"
"611","363","herman+deru"
"612","364","dhenok+pratiwi"
"613","365","syamsul+huda"
"614","367","mark+howden"
"615","367","will+steffen"
"616","367","peter+newman"
"617","367","bronwyn+hayward"
"618","367","melissa+price"
"619","369","arief+r+palallo"
"620","370","syamsul+basri"
"621","370","hendrik+kuswoyo"
"622","370","rudy+tjahjohutomo"
"623","371","andi+amran+sulaiman"
"624","371","de+karwo"
"625","371","suwandi"
"626","371","berry+gaswara"
"627","371","yulius+dwi+putra"
"628","371","herry+phio"
"629","372","indra+wibowo"
"630","373","eko+kristiawan"
"631","374","umar+hadi"
"632","375","longki+djanggola"
"633","375","tri+suwandono"
"634","375","syamsul+huda"
"635","376","gempa+sulteng"
"636","376","achmad+jamaluddin"
"637","377","eko+kristiawan"
"638","380","febri+diansyah"
"639","381","donny+irawan"
"640","383","kajari+natuna+juli+isnur"
"641","383","harry+setyawan"
"642","384","rodrigo+duterte"
"643","384","amie+perez"
"644","384","martin+andanar"
"645","384","francis+pangilinan"
"646","384","franklin+drilon"
"647","385","roni+salaki"
"648","385","syamsul+arifin"
"649","385","wahyu"
"650","386","sandiaga+uno"
"651","387","adiatma+sardjito"
"652","389","willem+rampangilei"
"653","390","nawawi+bahrudin"
"654","391","fabianus+alisiono"
"655","392","putu+murtini"
"656","393","airlangga+hartarto"
"657","394","ansar"
"658","394","fajar"
"659","395","khabib+abdulmanapovich+nurmagomedov"
"660","395","conor+mcgregor"
"661","396","tri+suwandono"
"662","397","febri+diansyah"
"663","398","gunadi+sadikin"
"664","398","budi+gunadi+sadikin"
"665","399","febri+diansyah"
"666","400","tri+suwandono"
"667","401","eko+kristiawan"
"668","402","andi+amran+sulaiman"
"669","402","de+karwo"
"670","402","suwandi"
"671","402","berry+gaswara"
"672","402","yulius+dwi+putra"
"673","402","herry+phio"
"674","403","niswana+wafi+alfarda"
"675","403","sures+setiadi+tarigan"
"676","405","abdul+kadir+karding"
"677","405","hasto+kristiyanto"
"678","406","udin"
"679","406","yadi"
"680","407","roby+hervindo"
"681","407","kiki"
"682","408","andi+fada"
"683","408","faizal"
"684","409","febri+diansyah"
"685","410","syamsul+huda"
"686","411","adolf+ayatullah+wakabid"
"687","411","donny+irawan"
"688","412","djoko+siswanto"
"689","413","agus+hariyana"
"690","414","roby+hervindo"
"691","414","kiki"
"692","416","sutopo+purwo+nugroho"
"693","416","djamaluddin"
"694","417","antonius+wukak+sogen"
"695","417","maria+loretha"
"696","418","khozin"
"697","419","sulampua+zulmi"
"698","420","roni+salaki"
"699","420","syamsul+arifin"
"700","420","wahyu"
"701","421","nawawi+bahrudin"
"702","422","febri+diansyah"
"703","423","sukamto+yulian"
"704","424","anwar+hamid"
"705","424","wirawan+wiguna"
"706","425","achmad+djamaludin"
"707","426","willem+rampangilei"
"708","427","rifky+rakhman+yusuf"
"709","428","andi+amran+sulaiman"
"710","428","hortikultura+kementan+suwandi"
"711","429","sulampua+zulmi"
"712","430","febri+diansyah"
"713","431","supri"
"714","431","tri"
"715","431","titi+sutrisno"
"716","432","roby+hervindo"
"717","433","shrankhla+holecek"
"718","434","rifky+rakhman+yusuf"
"719","435","prabowo"
"720","435","rudiantara"
"721","436","kai+abdullah"
"722","436","syahriar+rifani"
"723","437","joko+widodo"
"724","438","mizu+istianto"
"725","439","andry+satrio+nugroho"
"726","439","airlangga+hartarto"
"727","440","m+roby+hervindo"
"728","441","alicia+irzanova"
"729","441","mas'ud+khamid"
"730","441","masud"
"731","442","soekarwo"
"732","442","herry+phio"
"733","442","berry+gaswara"
"734","442","yulius+dwi+putra"
"735","442","andi+amran+sulaiman"
"736","443","ibrahim"
"737","444","muchlis"
"738","444","adnan+purichta+ichsan"
"739","445","arif+nurhayadi"
"740","445","hery+nurjiyanto"
"741","445","sigit+widyonindito"
"742","445","imam+ihwandi"
"743","446","wasirudin"
"744","446","rois"
"745","447","budi+riyanto"
"746","448","lais+abid"
"747","448","basuki+hariman"
"748","449","febri+diansyah"
"749","450","roby+hervindo"
"750","451","muchlis"
"751","451","adnan+purichta+ichsan"
"752","452","andi+amran+sulaiman"
"753","452","soekarwo"
"754","453","rifky+rakhman+yusuf"
"755","454","soekarwo"
"756","454","amran+sulaiman"
"757","455","willem+rampangilei"
"758","456","ignasius+jonan"
"759","457","willem+rampangilei"
"760","458","willem+rampangilei"
"761","460","busyro+muqoddas"
"762","461","andi+amran+sulaiman"
"763","462","sandiaga+uno"
"764","463","lilik"
"765","463","taslim"
"766","466","rifky+rakhman+yusuf"
"767","467","andi+amran+sulaiman"
"768","467","suwandi"
"769","468","gabriel"
"770","469","roby+hervindo"
"771","470","amran+sulaiman"
"772","470","soekarwo"
"773","471","febri+diansyah"
"774","472","gempa+sulteng"
"775","472","a+jamaluddin"
"776","473","andi+amran+sulaiman"
"777","474","sianturi"
"778","475","muhammad+hairul+sobri"
"779","475","rustandi+adriansyah"
"780","475","rabin+ibnu+zainal"
"781","475","yenrizal+tarmizi"
"782","476","febri+diansyah"
"783","477","busman"
"784","477","geldy"
"785","478","muthowif"
"786","479","roby+hervindo"
"787","480","romahurmuziy"
"788","481","romahurmuziy"
"789","482","abdul+gafur"
"790","483","muchlis"
"791","483","adnan+purichta+ichsan"
"792","483","sugeng+priyanto"
"793","484","andi+amran+sulaiman"
"794","485","pandu+winata"
"795","485","joko+pitoyo"
"796","486","i+made+dikantara"
"797","487","andi+amran+sulaiman"
"798","487","de+karwo"
"799","487","suwandi"
"800","487","berry+gaswara"
"801","487","yulius+dwi+putra"
"802","487","herry+phio"
"803","488","syamsul+huda"
"804","489","syamsul+huda"
"805","490","triksi+hendria"
"806","491","roby+hervindo"
"807","492","geingob"
"808","493","rifky+rakhman+yusuf"
"809","494","willem+rampangilei"
"810","495","willem+rampangilei"
"811","496","febri+diansyah"
"812","497","alicia+irzanova"
"813","497","perry+warjiyo"
"814","498","willem+rampangilei"
"815","499","willem+rampangilei"
"816","500","airlangga+hartarto"
"817","501","sigit+prabowo"
"818","502","rifky+rakhman+yusuf"
"819","503","willem+rampangilei"
"820","503","achmad+djamaludin"
"821","504","willem+rampangilei"
"822","505","kiki"
"823","505","roby+hervindo"
"824","506","joko+widodo"
"825","506","sutopo+purwo+nugroho"
"826","506","wiranto"
"827","506","chris+lamb"
"828","506","diya+ratu+ganefi"
"829","507","febri+diansyah"
"830","508","emrus+sihombing"
"831","508","darmin+nasution"
"832","509","andi+amran+sulaiman"
"833","509","de+karwo"
"834","509","suwandi"
"835","509","berry+gaswara"
"836","509","yulius+dwi+putra"
"837","509","herry+phio"
"838","510","syamsul+huda"
"839","511","salma+amalia"
"840","511","ahmad+fauzi"
"841","511","hidayat+lamakarate"
"842","511","roby+hervindo"
"843","511","syamsul+huda"
"844","511","longki+djanggola"
"845","512","achmad+djamaludin"
"846","513","zulfikar"
"847","513","rahman"
"848","513","nina+ratna"
"849","513","ayep+supriatna"
"850","514","a+jamaluddin"
"851","514","willem+rampangilei"
"852","514","joko+widodo"
"853","516","achmad+djamaludin"
"854","517","sandiaga+uno"
"855","518","gede+paguh"
"856","519","andi+amran+sulaiman"
"857","519","de+karwo"
"858","519","hortikultura+suwandi"
"859","519","berry+gaswara"
"860","519","yulius+dwi+putra"
"861","519","herry+phio"
"862","520","ansar"
"863","520","fajar"
"864","522","febri+diansyah"
"865","523","achmad+djamaludin"
"866","524","achmad+djamaludin"
"867","525","sutopo+purwo+nugroho"
"868","529","andi+amran+sulaiman"
"869","529","de+karwo"
"870","529","suwandi"
"871","529","berry+gaswara"
"872","529","yulius+dwi+putra"
"873","529","herry+phio"
"874","530","febri+diansyah"
"875","531","pinsar+soloraya+parjuni"
"876","532","hidayat"
"877","532","lusdiana"
"878","532","shuhairoh"
"879","533","alicia+irzanova"
"880","534","roby+hervindo"
"881","536","febri+diansyah"
"882","537","rakhman+yusuf"
"883","537","rifky"
"884","538","amran+sulaiman"
"885","540","muhammad+ridho"
"886","540","sutek"
"887","542","nyoman+wiranata"
"888","543","amran+sulaiman"
"889","543","soekarwo"
"890","544","raidin+pinim"
"891","545","longki+djanggola"
"892","546","muchlis"
"893","546","adnan+purichta+ichsan"
"894","547","andi+amran+sulaiman"
"895","547","soekarwo"
"896","548","jumsu+trisno"
"897","549","eko+kristiawan"
"898","550","moeldoko"
"899","551","syamsul+huda"
"900","552","ulfa"
"901","553","andi+amran+sulaiman"
"902","553","soekarwo"
"903","553","suwandi"
"904","553","berry+gaswara"
"905","553","yulius+dwi+putra"
"906","553","herry+phio"
"907","554","ika+srihati"
"908","554","andi+kusnardi"
"909","554","oji+fahroji"
"910","555","febri+diansyah"
"911","556","febri+diansyah"
"912","557","atika+puteri"
"913","558","roby+hervindo"
"914","558","kiki"
"915","559","willem+rampangilei"
"916","559","syamsul+huda"
"917","559","sutopo+purwo+nugroho"
"918","560","eko+kristiawan"
"919","561","rezaei"
"920","562","hamid+muhammad"
"921","562","mendikud+muhadjir+effendy"
"922","563","roby+hervindo"
"923","564","adji+suranto"
"924","565","syamsul+huda"
"925","566","hardy"
"926","568","rudi"
"927","568","cikupa+utoro"
"928","569","rio+dewanto"
"929","570","ali+marten"
"930","571","febri+diansyah"
"931","572","hanson"
"932","572","handon"
"933","572","hortikultura+suwandi"
"934","572","i+wayan+supandi"
"935","572","i+gusti+ngurah+alit"
"936","573","roby+hervindo"
"937","574","hambra+samal"
"938","575","finalita+a+nasution"
"939","576","syamsul+huda"
"940","577","roby+hervindo"
"941","578","febri+diansyah"
"942","579","roby+hervindo"
"943","580","syamsul+huda"
"944","581","febri+diansyah"
"945","582","diana+permana"
"946","582","airborne+honey+john+smith"
"947","582","geovani+jatmiko"
"948","583","amran+sulaiman"
"949","584","sony+susmana"
"950","584","pengetahuan+sonny"
"951","585","syamsul+huda"
"952","586","soekarwo"
"953","586","pakdhe+karwo"
"954","587","jusuf+kalla"
"955","588","achmad+yurianto"
"956","589","joko+martono"
"957","589","lelogama+frengky+funay"
"958","589","thom+kameo"
"959","589","fitus+efi"
"960","590","febri+diansyah"
"961","591","roby+hervindo"
"962","591","kiki"
"963","592","sultani"
"964","593","rahman"
"965","594","ira+irianty"
"966","595","roby+hervindo"
"967","595","kiki"
"968","596","adiatma+sardjito"
"969","597","lilik"
"970","597","taslim"
"971","598","lambas+pasaribu"
"972","599","febri+diansyah"
"973","600","atika+puteri"
"974","600","michael"
"975","601","muchlis"
"976","601","adnan+purichta+ichsan"
"977","602","nicolas+maduro"
"978","602","petro"
"979","603","muchlis"
"980","603","adnan+purichta+ichsan"
"981","604","andi+amran+sulaiman"
"982","604","soekarwo"
"983","604","hortikultura+kementan+suwandi"
"984","605","m+husein+sawit"
"985","605","tjahya+widayanti"
"986","605","achmad+dawami"
"987","605","bachtiar+utomo"
"988","606","pahrijani"
"989","606","erwan+suherman"
"990","606","rachmadi"
"991","606","racmadi"
"992","607","m+haritsuddin"
"993","607","zulhelfi+abidin"
"994","607","bob+apriawan"
"995","608","roby+hervindo"
"996","609","willy"
"997","610","airlangga+hartarto"
"998","611","rudiantara"
"999","611","adiatma+sardjito"
"1000","612","soekarwo"
"1001","612","andi+amran+sulaiman"
"1002","613","syamsul+huda"
"1003","614","kadarisman"
"1004","614","kadarisaman"
"1005","615","andi+amran+sulaiman"
"1006","615","de+karwo"
"1007","615","suwandi"
"1008","616","andi+amran+sulaiman"
"1009","618","andi+amran+sulaiman"
"1010","620","muchlis"
"1011","620","adnan+purichta+ichsan"
"1012","621","syamsul+huda"
"1013","622","madinatul+iman"
"1014","622","dyah"
"1015","622","muhammad+yusuf"
"1016","623","amjad+abdulla"
"1017","625","amran+sulaiman"
"1018","627","syamsul+huda"
"1019","628","megawati+soekarnoputri"
"1020","628","hasto+kristiyanto"
"1021","631","syamsul+huda"
"1022","632","longki+djanggola"
